Country/Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region_x,Recovered_clean,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region_y,recovery_rate
Cyprus,2020-07-27,1060,19,852,189,3,0,0,Europe,852,Asia,1208238.0,1208.0,,19.0,,856.0,,333.0,,1000.0,16.0,216597.0,179267.0,Europe,0.8037735849056604
Czechia,2020-07-27,15516,373,11428,3715,192,2,0,Europe,11428,Europe,10711019.0,17731.0,,390.0,,12320.0,,5021.0,17.0,1655.0,36.0,728670.0,68030.0,Europe,0.7365300335137922
Denmark,2020-07-27,13761,613,12605,543,109,0,77,Europe,188,Europe,5794279.0,14306.0,,617.0,,12787.0,,902.0,2.0,2469.0,106.0,1654512.0,285542.0,Europe,0.9159944771455563
Djibouti,2020-07-27,5059,58,4977,24,9,0,11,Eastern Mediterranean,4977,Africa,989387.0,5330.0,,59.0,,5057.0,,214.0,,5387.0,60.0,59909.0,60552.0,EasternMediterranean,0.9837912630954734
Dominica,2020-07-27,18,0,18,0,0,0,0,Americas,18,North America,72004.0,18.0,,,,18.0,,0.0,,250.0,,1005.0,13958.0,Americas,1.0
Dominican Republic,2020-07-27,64156,1083,30204,32869,1248,20,1601,Americas,30204,North America,10858648.0,76536.0,,1246.0,,40539.0,,34751.0,317.0,7048.0,115.0,281926.0,25963.0,Americas,0.4707899494980984
Ecuador,2020-07-27,81161,5532,34896,40733,467,17,0,Americas,34896,South America,17668824.0,90537.0,,5877.0,,71318.0,,13342.0,378.0,5124.0,333.0,258582.0,14635.0,Americas,0.429960202560343
Egypt,2020-07-27,92482,4652,34838,52992,420,46,1007,Eastern Mediterranean,34838,Africa,102516525.0,95006.0,,4951.0,,48898.0,,41157.0,41.0,927.0,48.0,135000.0,1317.0,EasternMediterranean,0.37670033087519733
El Salvador,2020-07-27,15035,408,7778,6849,405,8,130,Americas,7778,North America,6489514.0,19126.0,,513.0,,9236.0,,9377.0,509.0,2947.0,79.0,251271.0,38720.0,Americas,0.5173262387761889
Equatorial Guinea,2020-07-27,3071,51,842,2178,0,0,0,Africa,842,Africa,1407001.0,4821.0,,83.0,,2182.0,,2556.0,,3426.0,59.0,44356.0,31525.0,Africa,0.27417779225008143
Eritrea,2020-07-27,265,0,191,74,2,0,2,Africa,191,Africa,3551175.0,282.0,,,,225.0,,57.0,,79.0,,,,Africa,0.720754716981132
Estonia,2020-07-27,2034,69,1923,42,0,0,1,Europe,1923,Europe,1326627.0,2124.0,,63.0,,1954.0,,107.0,,1601.0,47.0,122880.0,92626.0,Europe,0.9454277286135693
Eswatini,2020-07-27,2316,34,1025,1257,109,2,39,Africa,1025,Africa,1161348.0,2968.0,,55.0,,1476.0,,1437.0,5.0,2556.0,47.0,20784.0,17896.0,Africa,0.442573402417962
Ethiopia,2020-07-27,14547,228,6386,7933,579,5,170,Africa,6386,Africa,115223736.0,20900.0,,365.0,,9027.0,,11508.0,185.0,181.0,3.0,468814.0,4069.0,Africa,0.4389908572214202
Fiji,2020-07-27,27,0,18,9,0,0,0,Western Pacific,18,Australia/Oceania,897095.0,27.0,,1.0,,18.0,,8.0,,30.0,1.0,6693.0,7461.0,WesternPacific,0.6666666666666666
Finland,2020-07-27,7398,329,6920,149,5,0,0,Europe,6920,Europe,5541604.0,7532.0,,331.0,,6980.0,,221.0,,1359.0,60.0,389500.0,70287.0,Europe,0.9353879426872128
France,2020-07-27,220352,30212,81212,108928,2551,17,267,Europe,1,Europe,65288306.0,195633.0,,30312.0,,82460.0,,82861.0,384.0,2996.0,464.0,3992206.0,61147.0,Europe,0.36855576532094103
Gabon,2020-07-27,7189,49,4682,2458,205,0,219,Africa,4682,Africa,2230563.0,7787.0,,51.0,,5609.0,,2127.0,11.0,3491.0,23.0,85369.0,38272.0,Africa,0.6512727778550563
Gambia,2020-07-27,326,8,66,252,49,2,6,Africa,66,Africa,2422754.0,935.0,,16.0,,136.0,,783.0,,386.0,7.0,5183.0,2139.0,Africa,0.20245398773006135
Georgia,2020-07-27,1137,16,922,199,6,0,2,Europe,922,Asia,3988368.0,1206.0,,17.0,,987.0,,202.0,,302.0,4.0,240473.0,60294.0,Europe,0.810905892700088
Germany,2020-07-27,207112,9125,190314,7673,445,1,259,Europe,190314,Europe,83811260.0,215210.0,,9252.0,,196200.0,,9758.0,236.0,2568.0,110.0,8586648.0,102452.0,Europe,0.9188941249179188
Ghana,2020-07-27,33624,168,29801,3655,655,0,307,Africa,29801,Africa,31133483.0,39642.0,,199.0,,36384.0,,3059.0,7.0,1273.0,6.0,405817.0,13035.0,Africa,0.8863014513442778
Greece,2020-07-27,4227,202,1374,2651,34,0,0,Europe,1374,Europe,10417673.0,5123.0,,210.0,,1374.0,,3539.0,14.0,492.0,20.0,619393.0,59456.0,Europe,0.32505322924059615
Greenland,2020-07-27,14,0,13,1,1,0,0,Europe,13,North America,56780.0,14.0,,,,14.0,,0.0,,247.0,,5977.0,105266.0,Europe,0.9285714285714286
Grenada,2020-07-27,23,0,23,0,0,0,0,Americas,23,North America,112576.0,24.0,,,,23.0,,1.0,,213.0,,6252.0,55536.0,Americas,1.0
Guatemala,2020-07-27,45309,1761,32455,11093,256,27,843,Americas,32455,North America,17946899.0,54339.0,,2119.0,,42070.0,,10150.0,5.0,3028.0,118.0,172712.0,9624.0,Americas,0.7163036041404578
Guinea,2020-07-27,7055,45,6257,753,47,2,105,Africa,6257,Africa,13164905.0,7664.0,,49.0,,6757.0,,858.0,24.0,582.0,4.0,14407.0,1094.0,Africa,0.886888731396173
Guinea-Bissau,2020-07-27,1954,26,803,1125,0,0,0,Africa,803,Africa,1972277.0,2032.0,,27.0,,944.0,,1061.0,5.0,1030.0,14.0,1500.0,761.0,Africa,0.4109518935516888
Guyana,2020-07-27,389,20,181,188,19,0,0,Americas,181,South America,786936.0,538.0,,22.0,,189.0,,327.0,2.0,684.0,28.0,5165.0,6563.0,Americas,0.4652956298200514
Haiti,2020-07-27,7340,158,4365,2817,25,1,0,Americas,4365,North America,11416103.0,7544.0,,171.0,,4832.0,,2541.0,,661.0,15.0,18443.0,1616.0,Americas,0.5946866485013624
Holy See,2020-07-27,12,0,12,0,0,0,0,Europe,12,,,,,,,,,,,,,,,,1.0
Honduras,2020-07-27,39741,1166,5039,33536,465,50,117,Americas,5039,North America,9919704.0,45098.0,,1423.0,,6116.0,,37559.0,52.0,4546.0,143.0,109292.0,11018.0,Americas,0.1267960041267205
Hungary,2020-07-27,4448,596,3329,523,13,0,0,Europe,3329,Europe,9657785.0,4597.0,,600.0,,3463.0,,534.0,8.0,476.0,62.0,352546.0,36504.0,Europe,0.7484262589928058
Iceland,2020-07-27,1854,10,1823,21,7,0,0,Europe,1823,Europe,341465.0,1930.0,,10.0,,1825.0,,95.0,,5652.0,29.0,149693.0,438385.0,Europe,0.9832793959007551
India,2020-07-27,1480073,33408,951166,495499,44457,637,33598,South-East Asia,951166,Asia,1381344997.0,2025409.0,,41638.0,,1377384.0,,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia,0.6426480315497952
Indonesia,2020-07-27,100303,4838,58173,37292,1525,57,1518,South-East Asia,58173,Asia,273808365.0,118753.0,,5521.0,,75645.0,,37587.0,,434.0,20.0,1633156.0,5965.0,South-EastAsia,0.5799726827712033
Iran,2020-07-27,293606,15912,255144,22550,2434,212,1931,Eastern Mediterranean,255144,Asia,84097623.0,320117.0,,17976.0,,277463.0,,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean,0.8690013146870296
Iraq,2020-07-27,112585,4458,77144,30983,2553,96,1927,Eastern Mediterranean,77144,Asia,40306025.0,140603.0,,5161.0,,101025.0,,34417.0,517.0,3488.0,128.0,1092741.0,27111.0,EasternMediterranean,0.6852067326908557
Ireland,2020-07-27,25892,1764,23364,764,11,0,0,Europe,23364,Europe,4943200.0,26372.0,,1768.0,,23364.0,,1240.0,5.0,5335.0,358.0,652917.0,132084.0,Europe,0.9023636644523405
Israel,2020-07-27,63985,474,27133,36378,2029,4,108,Europe,27133,Asia,9197590.0,79559.0,,576.0,,53427.0,,25556.0,358.0,8650.0,63.0,1872453.0,203581.0,Europe,0.42405251230757207
Italy,2020-07-27,246286,35112,198593,12581,168,5,147,Europe,198593,Europe,60452568.0,249204.0,,35187.0,,201323.0,,12694.0,42.0,4122.0,582.0,7099713.0,117443.0,Europe,0.8063511527248808
Jamaica,2020-07-27,853,10,714,129,11,0,0,Americas,714,North America,2962478.0,958.0,30.0,12.0,,745.0,,201.0,,323.0,4.0,41840.0,14123.0,Americas,0.8370457209847597
Japan,2020-07-27,31142,998,21970,8174,594,0,364,Western Pacific,21970,Asia,126435859.0,42263.0,,1026.0,,28877.0,,12360.0,115.0,334.0,8.0,938739.0,7425.0,WesternPacific,0.705478132425663
Jordan,2020-07-27,1176,11,1041,124,8,0,0,Eastern Mediterranean,1041,Asia,10213138.0,1232.0,,11.0,,1171.0,,50.0,3.0,121.0,1.0,628745.0,61562.0,EasternMediterranean,0.8852040816326531
Kazakhstan,2020-07-27,84648,585,54404,29659,1526,0,1833,Europe,54404,Asia,18798667.0,95942.0,,1058.0,,68871.0,,26013.0,221.0,5104.0,56.0,2163713.0,115099.0,Europe,0.6427086286740383
Kenya,2020-07-27,17975,285,7833,9857,372,5,90,Africa,7833,Africa,53881160.0,24411.0,,399.0,,10444.0,,13568.0,44.0,453.0,7.0,335318.0,6223.0,Africa,0.4357719054242003
